(924,-67) on
(885,-64) off
(795,-61) off
(690,-59) off
(566,-58) off
(493,-58) on
(347,-58) off
(142,-62) off
(63,-67) on
(63,22) on
(142,17) off
(347,13) off
(493,13) on
(566,13) off
(690,14) off
(795,16) off
(885,19) off
(924,22) on

